"v1013","mes_nome","sexo","raca","faixa_etaria","escolaridade","faixa_renda","n_amostra","populacao_estimada"
"9","Setembro","Feminino","Parda","60+","Fundamental completo","2 a 4 SM","14","7821.0"
"9","Setembro","Masculino","Indigena","18-29","Medio incompleto","1 a 2 SM","3","2106.0"
"9","Setembro","Masculino","Parda","18-29","Sem instrucao","1 a 2 SM","7","5404.0"
"9","Setembro","Masculino","Parda","30-39","Sem instrucao","Acima 4 SM","1","170.0"
"9","Setembro","Masculino","Preta","60+","Medio incompleto","1 a 2 SM","8","4041.0"
"9","Setembro","Feminino","Indigena","30-39","Superior completo","Sem informacao","8","6240.0"
"9","Setembro","Masculino","Indigena","60+","Medio incompleto","Sem informacao","3","1102.0"
"9","Setembro","Masculino","Indigena","50-59","Medio completo","Acima 4 SM","4","1618.0"
"9","Setembro","Feminino","Amarela","40-49","Fundamental incompleto","Ate 1 SM","9","3990.0"
"9","Setembro","Feminino","Amarela","40-49","Superior completo","Ate 1 SM","1","161.0"
"9","Setembro","Feminino","Preta","30-39","Sem instrucao","1 a 2 SM","1","286.0"
"9","Setembro","Masculino","Indigena","18-29","Superior incompleto","Ate 1 SM","2","968.0"
"9","Setembro","Masculino","Preta","18-29","Sem instrucao","Ate 1 SM","4","2140.0"
"9","Setembro","Feminino","Amarela","0-17","Medio incompleto","Ate 1 SM","1","352.0"
"9","Setembro","Masculino","Branca","60+","Sem instrucao","Acima 4 SM","4","922.0"
"9","Setembro","Masculino","Indigena","40-49","Medio completo","2 a 4 SM","7","3794.0"
"9","Setembro","Feminino","Branca","50-59","Fundamental incompleto","Acima 4 SM","13","4920.0"
"9","Setembro","Masculino","Indigena","50-59","Fundamental completo","1 a 2 SM","2","323.0"
"9","Setembro","Masculino","Amarela","40-49","Medio completo","Acima 4 SM","5","6622.0"
"11","Novembro","Masculino","Indigena","18-29","Medio incompleto","Sem informacao","14","7948.0"
"11","Novembro","Masculino","Indigena","50-59","Medio incompleto","Ate 1 SM","2","996.0"
"10","Outubro","Masculino","Indigena","30-39","Fundamental completo","2 a 4 SM","2","3275.0"
