"v1013","mes_nome","faixa_etaria","raca","comorbidade_codigo","comorbidade","n_amostra","qtd_respostas_sim","pop_estimada_com_comorbidade","pct_com_comorbidade"
"10","Outubro","50-59","Indigena","B0103","Asma ou bronquite","185","5","1326.0","1.9249"
"11","Novembro","40-49","Branca","B0103","Asma ou bronquite","22198","1027","611976.0","4.7908"
"10","Outubro","30-39","Preta","B0103","Asma ou bronquite","5185","216","139460.0","4.1702"
"10","Outubro","0-17","Parda","B0104","Doenca do coracao","47618","138","94450.0","0.3597"
"10","Outubro","50-59","Parda","B0104","Doenca do coracao","23044","840","375167.0","3.6688"
"10","Outubro","0-17","Indigena","B0104","Doenca do coracao","397","1","292.0","0.2023"
"10","Outubro","60+","Indigena","B0104","Doenca do coracao","212","23","8997.0","11.2108"
"10","Outubro","50-59","Indigena","B0104","Doenca do coracao","185","9","2650.0","3.8468"
"10","Outubro","30-39","Preta","B0104","Doenca do coracao","5185","54","32479.0","0.9712"
"9","Setembro","18-29","Branca","B0104","Doenca do coracao","24458","129","81652.0","0.5034"
"9","Setembro","40-49","Amarela","B0104","Doenca do coracao","340","5","1788.0","0.8161"
"11","Novembro","50-59","Parda","B0103","Asma ou bronquite","23149","879","393684.0","3.8535"
"10","Outubro","60+","Amarela","B0103","Asma ou bronquite","503","24","9617.0","2.8164"
"10","Outubro","18-29","Amarela","B0103","Asma ou bronquite","380","17","13839.0","5.2903"
"10","Outubro","18-29","Parda","B0103","Asma ou bronquite","33153","1550","983243.0","4.993"
"10","Outubro","50-59","Amarela","B0103","Asma ou bronquite","224","9","4908.0","3.7256"
"11","Novembro","0-17","Indigena","B0103","Asma ou bronquite","392","11","4598.0","2.9504"
"11","Novembro","30-39","Preta","B0103","Asma ou bronquite","5222","231","148737.0","4.4378"
"10","Outubro","18-29","Preta","B0103","Asma ou bronquite","5645","301","226022.0","5.8336"
"10","Outubro","40-49","Preta","B0103","Asma ou bronquite","5057","237","151524.0","5.1896"
"11","Novembro","0-17","Branca","B0103","Asma ou bronquite","35662","2347","1640658.0","7.0915"
"10","Outubro","30-39","Parda","B0103","Asma ou bronquite","28057","1134","704431.0","4.4018"
"10","Outubro","60+",,"B0103","Asma ou bronquite","10","0","0.0","0.0"
"11","Novembro","18-29","Branca","B0103","Asma ou bronquite","23685","1428","1082207.0","6.6996"
"11","Novembro","18-29","Amarela","B0103","Asma ou bronquite","377","18","13125.0","4.9306"
"11","Novembro","40-49","Amarela","B0103","Asma ou bronquite","351","14","7947.0","3.4625"
"10","Outubro","50-59","Branca","B0103","Asma ou bronquite","22192","1094","588069.0","5.3021"
"10","Outubro","18-29","Amarela","B0104","Doenca do coracao","380","0","0.0","0.0"
"10","Outubro","60+","Amarela","B0104","Doenca do coracao","503","42","30600.0","8.9614"
"9","Setembro","30-39","Parda","B0104","Doenca do coracao","28670","226","125737.0","0.7872"
"10","Outubro","18-29","Parda","B0104","Doenca do coracao","33153","175","109964.0","0.5584"
"10","Outubro","50-59","Amarela","B0104","Doenca do coracao","224","4","3341.0","2.5363"
"9","Setembro","40-49","Preta","B0104","Doenca do coracao","5140","101","57597.0","1.9616"
"9","Setembro","18-29","Parda","B0104","Doenca do coracao","33839","166","97436.0","0.497"
"9","Setembro","18-29","Preta","B0104","Doenca do coracao","5766","34","22897.0","0.5953"
"10","Outubro","18-29","Preta","B0104","Doenca do coracao","5645","38","22776.0","0.5879"
"9","Setembro","0-17","Amarela","B0104","Doenca do coracao","422","0","0.0","0.0"
"10","Outubro","40-49","Preta","B0104","Doenca do coracao","5057","103","55716.0","1.9083"
"9","Setembro","50-59","Indigena","B0104","Doenca do coracao","183","9","2640.0","3.8652"
"9","Setembro","50-59",,"B0104","Doenca do coracao","14","1","395.0","7.3868"
"10","Outubro","30-39","Parda","B0104","Doenca do coracao","28057","217","126269.0","0.789"
"9","Setembro","60+","Amarela","B0104","Doenca do coracao","510","42","31446.0","9.1936"
"10","Outubro","60+",,"B0104","Doenca do coracao","10","1","608.0","9.4774"
"10","Outubro","18-29","Indigena","B0103","Asma ou bronquite","259","10","3940.0","3.585"
"11","Novembro","50-59","Preta","B0103","Asma ou bronquite","4519","188","105507.0","4.5894"
"11","Novembro","50-59","Amarela","B0103","Asma ou bronquite","234","11","7005.0","5.2294"
"11","Novembro","50-59","Indigena","B0103","Asma ou bronquite","185","6","1451.0","2.1906"
"10","Outubro","40-49","Branca","B0103","Asma ou bronquite","22129","1023","605000.0","4.7335"
"11","Novembro","30-39","Parda","B0103","Asma ou bronquite","28038","1128","699261.0","4.3854"
"11","Novembro","60+","Parda","B0103","Asma ou bronquite","28064","1385","604637.0","5.1558"
"11","Novembro","0-17","Preta","B0103","Asma ou bronquite","5521","391","266943.0","7.6789"
"10","Outubro","30-39","Indigena","B0103","Asma ou bronquite","252","14","9364.0","7.7703"
"11","Novembro","40-49","Parda","B0103","Asma ou bronquite","26905","1031","570284.0","4.2996"
"11","Novembro","60+","Preta","B0103","Asma ou bronquite","5352","270","132742.0","5.2993"
"10","Outubro","30-39","Branca","B0103","Asma ou bronquite","21918","1043","754123.0","5.2825"
"11","Novembro","60+","Indigena","B0103","Asma ou bronquite","212","10","4146.0","5.2447"
"10","Outubro","60+","Preta","B0103","Asma ou bronquite","5329","261","129868.0","5.1587"
"10","Outubro","30-39","Amarela","B0103","Asma ou bronquite","379","20","13708.0","4.6264"
"11","Novembro","60+","Branca","B0103","Asma ou bronquite","33453","1964","943317.0","5.9651"
"11","Novembro","40-49","Preta","B0103","Asma ou bronquite","5130","251","157685.0","5.3511"
"10","Outubro","18-29","Branca","B0103","Asma ou bronquite","23837","1451","1050579.0","6.4926"
"11","Novembro","18-29","Preta","B0103","Asma ou bronquite","5660","325","251186.0","6.4849"
"11","Novembro","18-29","Indigena","B0103","Asma ou bronquite","252","10","4172.0","3.7942"
"11","Novembro","40-49","Indigena","B0103","Asma ou bronquite","202","9","3533.0","4.0627"
"11","Novembro","0-17","Amarela","B0103","Asma ou bronquite","395","25","14374.0","5.31"
"10","Outubro","40-49","Parda","B0103","Asma ou bronquite","26651","1039","581999.0","4.3931"
"11","Novembro","30-39","Amarela","B0103","Asma ou bronquite","382","19","13248.0","4.5903"
"11","Novembro","30-39","Branca","B0103","Asma ou bronquite","21985","1042","737442.0","5.1463"
"10","Outubro","0-17","Preta","B0103","Asma ou bronquite","5549","395","265353.0","7.5631"
"10","Outubro","40-49","Amarela","B0103","Asma ou bronquite","338","14","9807.0","4.5126"
"10","Outubro","0-17","Branca","B0103","Asma ou bronquite","35751","2334","1626976.0","7.0397"
"10","Outubro","50-59","Preta","B0103","Asma ou bronquite","4511","188","103885.0","4.4728"
"10","Outubro","60+","Parda","B0103","Asma ou bronquite","27793","1355","602444.0","5.17"
"9","Setembro","60+","Indigena","B0103","Asma ou bronquite","214","11","4290.0","5.1684"
"9","Setembro","40-49","Indigena","B0103","Asma ou bronquite","200","8","2870.0","3.4523"
"9","Setembro","50-59","Branca","B0104","Doenca do coracao","22438","838","437187.0","3.9292"
"10","Outubro","50-59","Branca","B0104","Doenca do coracao","22192","860","459695.0","4.1446"
"10","Outubro","18-29","Indigena","B0104","Doenca do coracao","259","1","237.0","0.2157"
"10","Outubro","40-49","Branca","B0104","Doenca do coracao","22129","378","228911.0","1.7913"
"9","Setembro","50-59","Parda","B0104","Doenca do coracao","23318","835","370276.0","3.6417"
