"v1013","mes_nome","faixa_etaria","raca","faixa_renda","plano_saude","n_amostra","populacao_estimada","pct_diabetes","pct_hipertensao","pct_asma","pct_doenca_coracao","pct_depressao","pct_cancer","pct_alguma_comorbidade","pct_internado_entre_atendidos","pct_entubado_entre_internados"
"11","Novembro","60+","Parda","Ate 1 SM","Sim","230","110144.0","19.5267","46.8782","6.0162","11.2653","3.0584","1.8176","58.3795","0.0",
"11","Novembro","30-39","Branca","Ate 1 SM",,"1","724.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0",,
"11","Novembro","18-29","Amarela","1 a 2 SM","Nao","45","40068.0","0.0","0.0","1.1239","0.0","0.0","0.0","1.1239",,
"11","Novembro","30-39","Parda","Ate 1 SM","Nao","5986","3147564.0","1.6734","4.3052","3.942","0.8083","2.0384","0.3353","11.3369","8.8935","0.0"
"11","Novembro","18-29","Parda","2 a 4 SM","Nao","630","399772.0","0.5961","2.9354","4.4748","0.3154","1.3414","0.1834","9.2271","0.0",
"11","Novembro","30-39","Parda","Acima 4 SM","Nao","391","226347.0","1.1572","4.3502","1.9493","0.039","1.4596","0.0","8.5046","24.8004","100.0"
"11","Novembro","18-29","Branca","1 a 2 SM","Sim","1753","1499621.0","0.4958","1.0969","8.9929","0.4588","2.044","0.0606","12.5192","0.0",
"11","Novembro","50-59","Preta","Sem informacao",,"8","2430.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0",,
"11","Novembro","40-49","Preta","Sem informacao","Sim","161","88527.0","6.5022","17.3777","4.2157","2.7844","5.8127","0.6858","28.944",,
"11","Novembro","0-17","Branca","Sem informacao",,"40","31251.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0",,
"11","Novembro","50-59","Indigena","Sem informacao","Nao","80","22208.0","12.7153","28.4562","3.1963","9.6249","7.1518","0.0","39.6746",,
"9","Setembro","50-59",,"1 a 2 SM","Sim","2","1246.0","0.0","35.7123","0.0","0.0","0.0","0.0","35.7123",,
"11","Novembro","60+","Branca","Sem informacao","Nao","17863","7842566.0","21.3567","48.6252","5.9012","11.8403","6.7164","4.292","62.0558","31.2077","31.3883"
"11","Novembro","40-49","Preta","Ate 1 SM","Nao","1105","583988.0","3.9847","15.7522","4.3935","2.4213","1.8614","0.645","21.8291","0.0",
"11","Novembro","40-49","Branca","Sem informacao","Nao","5278","2641295.0","6.0442","15.908","4.9569","2.8709","7.1677","1.2654","28.0615","8.9785","0.0"
