"v1013","mes_nome","faixa_renda","regiao","item_codigo","item_protecao","n_amostra","qtd_tem_item","pop_estimada_tem_item","pct_tem_item"
"10","Outubro","Sem informacao","Sul","F002A4","Luvas descartaveis","36753","17694","7764146.0","46.7113"
"10","Outubro","Acima 4 SM","Sul","F002A4","Luvas descartaveis","3437","2112","971157.0","60.1086"
"10","Outubro","2 a 4 SM","Nordeste","F002A2","Alcool 70","3634","3596","2057896.0","98.9317"
"10","Outubro","Ate 1 SM","Nordeste","F002A2","Alcool 70","19236","18412","9417457.0","96.1598"
"10","Outubro","Sem informacao","Norte","F002A2","Alcool 70","31315","29287","1.1551219E7","94.1957"
"10","Outubro","Ate 1 SM","Norte","F002A2","Alcool 70","6929","6535","2724167.0","95.1682"
"10","Outubro","Sem informacao","Nordeste","F002A2","Alcool 70","82005","77528","3.7126716E7","94.7763"
"9","Setembro","Sem informacao","Sul","F002A2","Alcool 70","37570","36464","1.6310528E7","97.1271"
"9","Setembro","2 a 4 SM","Sul","F002A2","Alcool 70","6934","6869","3216358.0","99.1532"
"9","Setembro","Ate 1 SM","Centro-Oeste","F002A2","Alcool 70","4426","4295","1771393.0","96.8376"
"9","Setembro","1 a 2 SM","Sul","F002A2","Alcool 70","13125","12857","6023301.0","97.8321"
"9","Setembro","Sem informacao","Centro-Oeste","F002A2","Alcool 70","23649","22826","8987487.0","96.6855"
"9","Setembro","2 a 4 SM","Centro-Oeste","F002A2","Alcool 70","3614","3565","1435583.0","98.7003"
"9","Setembro","Acima 4 SM","Centro-Oeste","F002A2","Alcool 70","2228","2215","929179.0","99.5307"
"9","Setembro","Ate 1 SM","Sul","F002A2","Alcool 70","5487","5278","2267591.0","96.454"
"9","Setembro","Acima 4 SM","Sul","F002A2","Alcool 70","3505","3481","1613747.0","99.4656"
"9","Setembro","1 a 2 SM","Centro-Oeste","F002A2","Alcool 70","7096","6886","2785375.0","97.1368"
"10","Outubro","2 a 4 SM","Sul","F002A2","Alcool 70","6799","6723","3200205.0","99.1436"
"11","Novembro","Sem informacao","Norte","F002A1","Sabao ou detergente","31440","31283","1.2223433E7","99.6368"
"10","Outubro","Ate 1 SM","Nordeste","F002A1","Sabao ou detergente","19236","19181","9778227.0","99.7841"
"10","Outubro","Sem informacao","Nordeste","F002A1","Sabao ou detergente","82005","81594","3.9028471E7","99.541"
"11","Novembro","2 a 4 SM","Norte","F002A1","Sabao ou detergente","2378","2376","823706.0","99.9661"
"9","Setembro","Sem informacao","Sul","F002A1","Sabao ou detergente","37570","37519","1.6783824E7","99.8689"
"9","Setembro","2 a 4 SM","Sul","F002A1","Sabao ou detergente","6934","6930","3244188.0","99.9588"
"9","Setembro","Ate 1 SM","Centro-Oeste","F002A1","Sabao ou detergente","4426","4412","1824268.0","99.7427"
"9","Setembro","1 a 2 SM","Sul","F002A1","Sabao ou detergente","13125","13108","6153005.0","99.8676"
"9","Setembro","Sem informacao","Centro-Oeste","F002A1","Sabao ou detergente","23649","23572","9299473.0","99.7387"
"9","Setembro","2 a 4 SM","Centro-Oeste","F002A1","Sabao ou detergente","3614","3608","1453688.0","99.8528"
"9","Setembro","Acima 4 SM","Centro-Oeste","F002A1","Sabao ou detergente","2228","2224","932731.0","99.9112"
"9","Setembro","Acima 4 SM","Sul","F002A1","Sabao ou detergente","3505","3503","1621962.0","99.9425"
"9","Setembro","Ate 1 SM","Sul","F002A1","Sabao ou detergente","5487","5478","2348767.0","99.8395"
"9","Setembro","1 a 2 SM","Centro-Oeste","F002A1","Sabao ou detergente","7096","7086","2869283.0","99.9128"
"10","Outubro","2 a 4 SM","Norte","F002A1","Sabao ou detergente","2339","2338","817959.0","99.9887"
"9","Setembro","2 a 4 SM","Norte","F002A1","Sabao ou detergente","2321","2318","817058.0","99.8916"
"10","Outubro","Acima 4 SM","Norte","F002A1","Sabao ou detergente","1310","1303","439945.0","99.4398"
"9","Setembro","Sem informacao","Norte","F002A1","Sabao ou detergente","31843","31682","1.2246931E7","99.6176"
"9","Setembro","Acima 4 SM","Norte","F002A1","Sabao ou detergente","1314","1310","414832.0","99.8068"
"10","Outubro","1 a 2 SM","Norte","F002A1","Sabao ou detergente","5279","5261","1994112.0","99.7472"
"9","Setembro","Ate 1 SM","Norte","F002A1","Sabao ou detergente","7064","7035","2863347.0","99.5832"
"9","Setembro","1 a 2 SM","Norte","F002A1","Sabao ou detergente","5163","5141","1976776.0","99.7769"
"10","Outubro","Sem informacao","Norte","F002A1","Sabao ou detergente","31315","31159","1.2223976E7","99.556"
"10","Outubro","Ate 1 SM","Norte","F002A1","Sabao ou detergente","6929","6904","2855852.0","99.6902"
"10","Outubro","2 a 4 SM","Sul","F002A1","Sabao ou detergente","6799","6789","3228278.0","99.9338"
"10","Outubro","1 a 2 SM","Sul","F002A1","Sabao ou detergente","13039","13014","6241210.0","99.883"
"10","Outubro","Ate 1 SM","Sul","F002A1","Sabao ou detergente","5536","5523","2420021.0","99.8763"
"10","Outubro","Sem informacao","Sul","F002A1","Sabao ou detergente","36753","36675","1.6653798E7","99.8235"
"10","Outubro","Acima 4 SM","Sul","F002A1","Sabao ou detergente","3437","3435","1618018.0","99.9748"
"9","Setembro","Sem informacao","Nordeste","F002A1","Sabao ou detergente","84770","84318","3.9314166E7","99.483"
"9","Setembro","Acima 4 SM","Nordeste","F002A1","Sabao ou detergente","2060","2060","1160826.0","100.0"
"9","Setembro","2 a 4 SM","Nordeste","F002A1","Sabao ou detergente","3725","3722","2066093.0","99.9542"
"11","Novembro","Acima 4 SM","Norte","F002A5","Agua sanitaria ou desinfetante","1334","1322","425891.0","99.1364"
"11","Novembro","Sem informacao","Nordeste","F002A5","Agua sanitaria ou desinfetante","82109","81110","3.8614602E7","98.9499"
"11","Novembro","Sem informacao","Norte","F002A5","Agua sanitaria ou desinfetante","31440","30910","1.2081304E7","98.5594"
"11","Novembro","2 a 4 SM","Norte","F002A5","Agua sanitaria ou desinfetante","2378","2359","819247.0","99.4249"
"11","Novembro","Sem informacao","Centro-Oeste","F002A5","Agua sanitaria ou desinfetante","23363","22974","9062609.0","98.3682"
"9","Setembro","Sem informacao","Sul","F002A5","Agua sanitaria ou desinfetante","37570","37124","1.6623072E7","98.9761"
"9","Setembro","2 a 4 SM","Sul","F002A5","Agua sanitaria ou desinfetante","6934","6887","3225610.0","99.5031"
"9","Setembro","1 a 2 SM","Sul","F002A5","Agua sanitaria ou desinfetante","13125","13015","6116816.0","99.3366"
"11","Novembro","1 a 2 SM","Centro-Oeste","F002A5","Agua sanitaria ou desinfetante","7172","7090","2879076.0","98.846"
"11","Novembro","2 a 4 SM","Centro-Oeste","F002A5","Agua sanitaria ou desinfetante","3649","3624","1474037.0","99.3002"
"11","Novembro","Ate 1 SM","Centro-Oeste","F002A5","Agua sanitaria ou desinfetante","4605","4524","1878506.0","98.1739"
"9","Setembro","Ate 1 SM","Sul","F002A5","Agua sanitaria ou desinfetante","5487","5398","2313696.0","98.3916"
"9","Setembro","Acima 4 SM","Sul","F002A5","Agua sanitaria ou desinfetante","3505","3492","1618081.0","99.7034"
"11","Novembro","Acima 4 SM","Centro-Oeste","F002A5","Agua sanitaria ou desinfetante","2217","2200","909800.0","99.1745"
"9","Setembro","Sem informacao","Nordeste","F002A5","Agua sanitaria ou desinfetante","84770","83513","3.8909482E7","98.5432"
"9","Setembro","Acima 4 SM","Nordeste","F002A5","Agua sanitaria ou desinfetante","2060","2052","1157421.0","99.7643"
"9","Setembro","2 a 4 SM","Nordeste","F002A5","Agua sanitaria ou desinfetante","3725","3703","2056509.0","99.6587"
"9","Setembro","Ate 1 SM","Nordeste","F002A5","Agua sanitaria ou desinfetante","19354","19155","9498875.0","99.1573"
"9","Setembro","1 a 2 SM","Nordeste","F002A5","Agua sanitaria ou desinfetante","8915","8840","4907936.0","99.4084"
"11","Novembro","Sem informacao","Sudeste","F002A5","Agua sanitaria ou desinfetante","66742","65786","5.0891751E7","98.6756"
"10","Outubro","2 a 4 SM","Norte","F002A5","Agua sanitaria ou desinfetante","2339","2320","811765.0","99.4209"
"11","Novembro","2 a 4 SM","Sudeste","F002A5","Agua sanitaria ou desinfetante","8270","8227","7545797.0","99.4242"
"10","Outubro","Acima 4 SM","Norte","F002A5","Agua sanitaria ou desinfetante","1310","1297","438153.0","99.0348"
"11","Novembro","Acima 4 SM","Sudeste","F002A5","Agua sanitaria ou desinfetante","5085","5065","4853645.0","99.6199"
"11","Novembro","Ate 1 SM","Sudeste","F002A5","Agua sanitaria ou desinfetante","12754","12597","8601422.0","98.9071"
"10","Outubro","1 a 2 SM","Norte","F002A5","Agua sanitaria ou desinfetante","5279","5220","1981426.0","99.1705"
"11","Novembro","1 a 2 SM","Sudeste","F002A5","Agua sanitaria ou desinfetante","18520","18324","1.6247777E7","99.1902"
"10","Outubro","Sem informacao","Norte","F002A5","Agua sanitaria ou desinfetante","31315","30768","1.2077639E7","98.4196"
"10","Outubro","Ate 1 SM","Norte","F002A5","Agua sanitaria ou desinfetante","6929","6834","2828062.0","98.7488"
"10","Outubro","2 a 4 SM","Sudeste","F002A5","Agua sanitaria ou desinfetante","8265","8215","7556599.0","99.3562"
"10","Outubro","Acima 4 SM","Sudeste","F002A5","Agua sanitaria ou desinfetante","5120","5099","4847654.0","99.6011"
"10","Outubro","Sem informacao","Sudeste","F002A5","Agua sanitaria ou desinfetante","66930","65879","5.0923571E7","98.6309"
"11","Novembro","1 a 2 SM","Centro-Oeste","F002A3","Mascara","7172","7153","2902762.0","99.6555"
"11","Novembro","2 a 4 SM","Centro-Oeste","F002A3","Mascara","3649","3642","1482888.0","99.8078"
"11","Novembro","Ate 1 SM","Centro-Oeste","F002A3","Mascara","4605","4587","1906600.0","99.6314"
"11","Novembro","Acima 4 SM","Centro-Oeste","F002A3","Mascara","2217","2206","911671.0","99.3784"
"9","Setembro","Sem informacao","Nordeste","F002A3","Mascara","84770","84322","3.9326549E7","99.5154"
"9","Setembro","Acima 4 SM","Nordeste","F002A3","Mascara","2060","2059","1160368.0","99.9606"
"9","Setembro","2 a 4 SM","Nordeste","F002A3","Mascara","3725","3717","2064339.0","99.8694"
"9","Setembro","Ate 1 SM","Nordeste","F002A3","Mascara","19354","19277","9544887.0","99.5971"
"9","Setembro","1 a 2 SM","Nordeste","F002A3","Mascara","8915","8898","4940400.0","99.8326"
"9","Setembro","2 a 4 SM","Sudeste","F002A3","Mascara","8365","8338","7471138.0","99.7959"
"9","Setembro","Sem informacao","Sudeste","F002A3","Mascara","68403","68052","5.2082561E7","99.6551"
"9","Setembro","Acima 4 SM","Sudeste","F002A3","Mascara","5263","5248","4925639.0","99.7971"
"9","Setembro","Ate 1 SM","Sudeste","F002A3","Mascara","12540","12479","8281739.0","99.6706"
"9","Setembro","1 a 2 SM","Sudeste","F002A3","Mascara","18564","18493","1.6050773E7","99.7438"
"10","Outubro","2 a 4 SM","Sudeste","F002A3","Mascara","8265","8243","7606882.0","99.9224"
"10","Outubro","Acima 4 SM","Sudeste","F002A3","Mascara","5120","5109","4859910.0","99.8595"
"10","Outubro","Sem informacao","Sudeste","F002A3","Mascara","66930","66620","5.1542316E7","99.6849"
"10","Outubro","1 a 2 SM","Sudeste","F002A3","Mascara","18492","18426","1.6256601E7","99.7342"
"10","Outubro","Ate 1 SM","Sudeste","F002A3","Mascara","12720","12669","8630070.0","99.6656"
"10","Outubro","2 a 4 SM","Norte","F002A3","Mascara","2339","2330","815297.0","99.666"
"10","Outubro","Acima 4 SM","Norte","F002A3","Mascara","1310","1306","440716.0","99.6141"
"10","Outubro","1 a 2 SM","Norte","F002A3","Mascara","5279","5259","1990910.0","99.587"
"10","Outubro","Sem informacao","Norte","F002A3","Mascara","31315","31067","1.2188731E7","99.3238"
"10","Outubro","Ate 1 SM","Norte","F002A3","Mascara","6929","6867","2842767.0","99.2614"
"11","Novembro","1 a 2 SM","Norte","F002A3","Mascara","5359","5337","2005454.0","99.5916"
"11","Novembro","Ate 1 SM","Norte","F002A3","Mascara","6984","6916","2862105.0","99.1428"
"11","Novembro","2 a 4 SM","Nordeste","F002A3","Mascara","3678","3670","2061904.0","99.8287"
"11","Novembro","1 a 2 SM","Nordeste","F002A3","Mascara","9031","9003","5042878.0","99.6196"
"10","Outubro","1 a 2 SM","Nordeste","F002A3","Mascara","8932","8906","5069754.0","99.7238"
"11","Novembro","Ate 1 SM","Nordeste","F002A3","Mascara","19480","19394","9948411.0","99.5772"
"10","Outubro","Acima 4 SM","Nordeste","F002A3","Mascara","1937","1933","1117534.0","99.8404"
"10","Outubro","2 a 4 SM","Nordeste","F002A3","Mascara","3634","3624","2075492.0","99.7494"
"9","Setembro","Ate 1 SM","Nordeste","F002A1","Sabao ou detergente","19354","19295","9557834.0","99.7283"
"9","Setembro","1 a 2 SM","Nordeste","F002A1","Sabao ou detergente","8915","8903","4944254.0","99.9105"
"11","Novembro","Acima 4 SM","Sul","F002A1","Sabao ou detergente","3504","3503","1632744.0","99.9868"
"11","Novembro","2 a 4 SM","Sul","F002A1","Sabao ou detergente","6811","6803","3242346.0","99.9385"
"11","Novembro","Sem informacao","Sul","F002A1","Sabao ou detergente","36399","36330","1.6570204E7","99.8528"
"11","Novembro","Ate 1 SM","Sul","F002A1","Sabao ou detergente","5496","5484","2430591.0","99.8782"
"11","Novembro","1 a 2 SM","Sul","F002A1","Sabao ou detergente","13025","13007","6310174.0","99.8941"
"10","Outubro","1 a 2 SM","Centro-Oeste","F002A1","Sabao ou detergente","7085","7076","2919723.0","99.8602"
"10","Outubro","Sem informacao","Centro-Oeste","F002A1","Sabao ou detergente","23171","23098","9226525.0","99.6876"
"10","Outubro","Ate 1 SM","Centro-Oeste","F002A1","Sabao ou detergente","4461","4450","1870374.0","99.7456"
"10","Outubro","2 a 4 SM","Centro-Oeste","F002A1","Sabao ou detergente","3533","3526","1451406.0","99.8465"
"10","Outubro","Acima 4 SM","Centro-Oeste","F002A1","Sabao ou detergente","2204","2194","922041.0","99.5567"
